CALENDAR YEAR,AIRPORT NAME,AIRPORT CODE (ICAO),AIRPORT CODE (IATA),"136,000kg","7,000kg to 136,000kg","Under 7,000kg",Helicopter,Unknown Weight,Military,Total,Total Strikes (ATSB),Total Strikes (Avisure),Corrected LA Mvts,HA Mvts excl. Rotary Wing,Corrected RPT Eqv Mvts,Strikes/10000 RPT Eqv (excl. Rotary Wing),10000 Movements,Strikes/10000 Movements,"10,000 RPT's",HA Movements,% HA Movements
2015,DARWIN,YPDN,DRW,78,"32,422","43,498","3,740",,"6,796","86,534",106,,2718.6250,39296.0000,42014.63,25.23,8.65,12.25,3.25,39296,45%
2015,ESSENDON,YMEN,MEB,,"4,602","31,724","17,690",,132,"54,148",2,,1982.7500,4734.0000,6716.75,2.98,5.41,0.37,0.4602,4734,9%
2015,GOLD COAST,YBCG,OOL,"1,760","39,182","36,290","10,954",,170,"88,356",62,,2268.1250,41112.0000,43380.13,14.29,8.84,7.02,4.0942,41112,47%
2015,HAMILTON ISLAND,YBHM,HTI,,"4,712","5,208",468,,56,"10,444",3,,325.5000,4768.0000,5093.50,5.89,1.04,2.87,0.4712,4768,46%
2015,HOBART,YMHB,HBA,,"17,646","3,286","6,002",,452,"27,386",12,,205.3750,18098.0000,18303.38,6.56,2.74,4.38,1.7646,18098,66%
2015,JANDAKOT,YPJT,JAD,0,"1,864","177,682","43,200",,128,"222,874",14,,11105.1250,1992.0000,13097.13,10.69,22.29,0.63,0.1864,1992,1%
2015,KARRATHA,YPKA,KTA,,"11,488","4,620","14,392",,12,"30,512",8,,288.7500,11500.0000,11788.75,6.79,3.05,2.62,1.1488,11500,38%
2015,LAUNCESTON,YMLT,LST,,"13,944","6,204",366,,236,"20,750",7,,387.7500,14180.0000,14567.75,4.81,2.08,3.37,1.3944,14180,68%
2015,MACKAY,YBMK,MKY,,"13,588","8,760","9,566",,208,"32,122",17,,547.5000,13796.0000,14343.50,11.85,3.21,5.29,1.3588,13796,43%
2015,MELBOURNE,YMML,MEL,"42,246","191,990",832,0,,246,"235,314",75,,52.0000,234482.0000,234534.00,3.20,23.53,3.19,23.4236,234482,100%
2015,MOORABBIN,YMMB,MBW,,224,"201,602","40,688",2,26,"242,542",13,,12600.2500,250.0000,12850.25,10.12,24.25,0.54,0.0224,250,0%
2015,PARAFIELD,YPPF,no code,,676,"220,668","14,038",,2,"235,384",13,,13791.7500,678.0000,14469.75,8.98,23.54,0.55,0.0676,678,0%
2015,PERTH,YPPH,PER,"29,574","104,974","2,972","1,040",,168,"138,728",35,,185.7500,134716.0000,134901.75,2.59,13.87,2.52,13.4548,134716,97%
2015,ROCKHAMPTON,YBRK,ROK,44,"12,576","12,370","2,288",,"1,926","29,204",36,,773.1250,14546.0000,15319.13,23.50,2.92,12.33,1.262,14546,50%
2015,SUNSHINE COAST,YBMC,MCY,,"6,878","20,256","36,766",,320,"64,220",2,,1266.0000,7198.0000,8464.00,2.36,6.42,0.31,0.6878,7198,11%
2015,SYDNEY,YSSY,SYD,"61,916","253,470","7,096","13,754",,722,"336,958",112,,443.5000,316108.0000,316551.50,3.54,33.70,3.32,31.5386,316108,94%
2015,TAMWORTH,YSTW,TMW,,"4,814","67,210","2,328",102,"2,316","76,770",9,,4207.0000,7130.0000,11337.00,7.94,7.68,1.17,0.4814,7130,9%
2015,TOWNSVILLE,YBTL,TSV,4,"24,086","23,322","8,056",,"11,146","66,614",45,,1457.6250,35236.0000,36693.63,12.26,6.66,6.76,2.409,35236,53%
